InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
212.7,18.4,20.3,True
153.6,20.3,20.3,True
151.0,21.9,25.6,False
265.2,20.2,31.3,True
192.2,25.1,19.5,True
174.6,29.0,24.0,False
187.0,26.8,26.3,True
270.9,32.5,29.8,True
259.0,23.7,26.8,True
161.6,28.7,24.9,False
227.1,28.7,19.3,True
250.3,28.8,32.1,False
236.8,30.8,18.7,True
203.4,24.6,28.6,True
158.8,24.0,25.3,False
274.3,28.7,26.7,True
164.0,29.1,20.5,False
267.5,32.0,26.1,False
261.9,20.7,18.9,True
140.6,21.9,29.7,False
167.5,21.8,20.8,False
198.9,28.9,30.1,False
233.6,23.0,23.1,True
211.8,28.9,26.0,False
150.1,29.6,26.3,False
180.8,19.1,21.4,True
276.3,19.3,28.3,True
187.5,27.2,18.2,False
269.5,25.5,21.2,True
150.9,32.4,21.8,False
189.9,26.9,23.8,True
225.4,23.2,25.8,True
246.1,28.4,27.0,True
218.0,25.4,22.5,True
213.7,26.2,20.1,True
277.7,29.0,29.3,True
213.7,24.6,20.6,True
207.9,24.0,26.1,False
168.4,25.0,25.2,False
206.2,27.9,23.3,False
175.7,18.4,29.7,True
257.2,20.7,19.1,True
234.8,27.2,27.2,True
201.0,32.6,23.9,False
243.7,21.6,30.6,True
256.3,27.0,26.7,True
227.8,18.0,19.8,True
223.3,19.2,23.3,True
196.0,19.5,29.3,True
248.2,31.6,24.0,False
153.2,29.5,31.6,False
195.2,28.5,22.0,True
240.3,24.9,20.0,True
175.8,24.4,28.3,False
178.5,24.3,32.6,False
277.4,22.9,28.9,True
196.7,23.5,27.5,True
265.6,24.0,32.8,True
195.0,31.3,24.3,False
268.5,23.6,22.4,True
141.1,30.9,28.9,False
149.7,21.8,29.2,False
160.4,19.5,20.6,False
159.2,32.9,32.2,False
224.6,25.0,28.8,False
230.2,19.8,21.0,True
159.1,30.0,32.7,False
269.5,21.4,25.9,True
225.4,31.9,21.9,True
167.0,28.3,18.2,False
165.1,19.4,18.5,True
196.6,24.8,29.6,True
238.6,31.5,24.7,False
248.8,21.6,22.0,True
199.2,30.5,28.7,False
162.4,23.7,28.2,False
236.5,18.9,30.7,True
275.2,25.3,20.1,True
189.7,27.4,20.0,False
278.7,19.5,20.9,True
273.6,18.0,21.8,True
149.1,29.2,25.0,False
209.0,21.7,30.8,True
238.6,19.8,29.4,True
213.3,30.1,23.6,True
206.3,22.2,21.4,True
238.0,23.4,30.4,True
246.7,32.2,24.2,True
261.6,27.2,19.8,True
150.0,25.7,21.6,False
168.7,22.3,21.5,True
258.3,24.1,21.9,True
258.8,25.9,31.3,True
156.2,24.1,31.4,False
272.7,26.8,23.8,True
205.1,18.7,30.2,True
226.1,29.5,20.7,True
145.8,27.9,23.0,False
170.3,20.3,21.9,True
145.1,29.9,28.6,False
179.7,22.8,32.5,False
212.8,30.8,28.2,False
216.6,18.8,26.1,True
194.4,28.5,25.5,False
152.5,19.7,18.1,True
156.2,25.1,19.6,False
181.4,28.8,27.6,False
160.0,21.7,27.7,False
212.1,20.6,30.3,True
148.7,32.2,25.3,False
221.7,20.6,27.5,True
276.4,31.1,28.6,True
