InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
261.6,30.6,28.2,False
236.5,25.4,19.3,True
195.5,32.7,28.4,False
279.6,22.6,32.9,True
236.8,28.9,29.6,False
188.3,27.8,21.1,False
194.5,18.3,31.7,True
230.2,23.7,18.5,True
278.0,25.6,24.4,True
174.5,28.5,27.6,False
172.8,30.7,18.3,False
254.7,22.7,28.4,True
218.2,22.1,30.1,True
185.7,30.6,19.7,False
238.8,30.1,21.3,True
268.4,29.5,29.8,False
209.0,30.3,18.3,False
267.7,18.2,20.5,True
146.4,25.4,25.5,False
219.5,21.6,30.5,True
277.5,26.5,27.1,True
252.4,18.3,31.4,True
182.8,32.6,24.6,False
178.1,19.2,26.5,True
268.5,22.6,24.3,True
141.8,28.5,21.1,False
197.6,31.5,22.6,False
202.2,23.6,31.2,False
264.2,30.8,32.3,True
271.3,32.3,29.8,False
226.6,25.0,32.1,True
210.6,25.5,24.1,True
168.3,25.1,29.2,False
199.2,26.8,32.9,False
188.1,29.7,22.5,False
174.8,31.0,32.9,False
224.9,26.8,25.4,True
251.8,20.4,29.0,True
147.9,29.0,29.8,False
158.5,19.9,29.1,True
197.8,21.1,22.3,True
169.6,18.6,26.5,True
270.6,26.1,25.5,True
218.2,26.6,27.8,False
145.6,32.8,31.0,False
244.2,31.8,32.4,False
266.2,19.4,20.8,True
190.6,28.6,22.5,False
156.0,20.7,22.2,True
274.8,18.3,18.8,True
262.5,18.4,25.5,True
226.7,29.7,19.4,True
249.3,22.4,23.2,True
191.3,30.9,27.2,False
163.2,26.9,25.4,False
235.4,32.7,21.5,True
170.2,23.7,23.4,True
253.6,18.2,20.6,True
184.6,26.8,31.6,False
165.0,26.8,32.4,False
184.0,31.5,20.4,False
242.3,30.6,18.9,False
273.0,23.6,20.5,True
169.0,21.8,22.1,True
240.1,30.9,23.1,False
270.9,25.6,28.0,True
194.6,30.1,30.4,False
252.7,21.2,23.7,True
253.7,19.0,26.9,True
200.9,20.9,19.2,True
157.7,20.6,27.7,False
247.4,29.4,32.3,True
237.4,25.7,32.7,False
142.6,29.5,20.5,False
277.7,24.7,30.5,True
145.6,28.3,31.0,False
192.6,18.6,30.3,True
259.0,27.5,29.8,True
202.7,19.0,31.0,True
220.0,21.5,22.1,True
142.4,23.7,27.5,False
269.0,23.1,21.7,True
173.6,32.2,25.3,False
279.1,25.1,29.3,True
265.8,32.8,18.6,True
166.3,28.6,29.0,False
245.5,28.3,21.7,True
183.7,25.6,29.1,False
176.7,26.1,23.0,False
155.0,26.5,31.2,False
242.3,22.4,21.9,True
172.9,22.3,19.5,True
191.8,20.1,29.4,True
194.3,23.8,30.7,False
194.2,21.5,27.8,True
166.3,29.1,21.3,False
275.4,19.4,32.2,True
255.3,19.8,29.3,True
173.5,19.2,30.6,True
259.8,31.6,32.6,True
172.4,27.0,18.6,True
274.2,19.8,19.9,True
275.6,26.3,25.6,True
201.4,24.6,19.8,True
183.8,32.2,30.7,False
148.0,19.7,18.5,False
168.4,19.4,32.6,False
216.8,30.8,26.2,False
156.1,24.6,29.0,False
155.9,28.3,26.4,False
275.5,27.1,20.3,True
207.5,32.4,19.2,False
263.1,21.0,19.8,True
166.3,21.1,29.9,False
166.2,29.0,30.8,False
217.2,26.0,31.3,True
219.9,26.2,31.5,False
191.8,23.9,19.7,False
211.6,32.9,27.4,False
208.3,26.1,23.2,True
230.8,21.7,24.4,True
141.4,22.4,31.4,False
244.8,18.6,20.7,True
230.0,30.2,19.9,True
150.7,28.1,22.5,False
233.2,23.3,19.7,True
236.3,18.6,29.7,True
149.8,19.6,31.3,False
215.8,21.9,31.2,True
231.0,32.3,18.3,False
177.4,26.0,25.2,False
248.0,21.1,31.5,True
246.8,32.0,25.0,True
215.3,27.9,23.0,True
274.3,29.6,24.5,True
171.5,22.8,30.1,True
189.8,26.8,25.7,False
226.4,29.3,27.0,False
196.0,20.9,32.8,False
248.6,25.6,31.7,True
220.9,27.6,20.2,True
265.2,29.0,22.1,True
145.1,22.7,25.5,False
175.3,26.6,27.1,False
196.5,23.6,21.0,True
142.0,23.7,26.0,False
141.6,29.3,20.2,False
188.3,23.9,21.6,False
225.3,20.4,30.5,True
183.7,22.7,26.2,False
166.9,22.1,23.3,False
247.4,31.9,24.9,True
231.3,32.5,28.0,False
185.1,30.1,30.4,False
203.3,30.8,31.7,False
260.3,18.8,24.9,True
151.8,25.6,21.7,False
175.1,22.0,30.4,True
144.3,24.5,23.3,False
167.4,32.3,22.0,False
167.9,24.2,28.4,False
214.9,20.1,22.0,True
184.4,31.5,28.0,False
275.0,26.2,28.2,True
267.0,31.9,25.9,True
265.4,21.5,21.5,True
241.1,20.0,25.6,True
178.3,25.9,25.2,False
273.3,29.1,30.9,False
223.0,27.4,21.8,True
221.7,21.0,28.2,True
251.4,30.4,23.7,False
246.9,26.0,24.6,True
241.7,25.2,22.9,True
212.5,24.5,27.2,True
267.5,26.8,26.4,True
275.3,27.7,19.3,True
169.3,26.1,31.9,False
180.8,29.9,28.8,False
210.2,32.8,32.2,False
275.4,21.7,26.2,True
194.5,32.9,20.9,False
225.1,30.5,21.9,False
247.9,32.9,20.7,True
180.3,29.0,22.3,False
274.0,21.7,23.3,True
261.0,29.1,25.6,True
224.9,22.6,18.5,True
191.5,26.0,29.7,False
204.9,32.9,32.3,False
254.2,19.5,19.9,True
210.6,28.0,32.1,False
166.3,20.6,18.0,True
228.5,25.2,18.7,True
196.2,27.4,26.8,True
146.9,25.4,28.2,False
169.5,23.5,18.1,False
185.2,31.4,29.1,False
253.4,24.7,31.6,True
190.5,31.4,25.5,False
200.2,25.8,27.1,False
247.6,25.6,20.1,True
194.7,22.6,28.1,False
218.9,27.3,22.8,True
183.1,31.4,21.3,False
194.5,20.9,29.3,True
234.8,32.7,32.5,False
265.6,25.4,25.0,True
184.0,32.5,29.8,False
279.7,26.5,31.7,True
264.8,29.6,24.3,False
272.9,23.2,29.4,True
247.8,32.8,19.1,True
157.1,26.9,21.4,False
180.3,30.8,29.5,False
267.6,23.4,19.0,True
261.3,27.8,29.9,True
201.0,29.1,30.3,False
252.2,31.4,22.2,False
249.1,18.1,20.6,True
181.2,19.0,19.1,True
196.2,19.7,28.8,True
203.8,21.7,27.1,True
267.8,29.2,21.1,True
165.0,27.5,24.3,False
225.0,25.5,31.1,True
175.6,21.1,22.2,True
199.0,21.0,22.1,True
195.3,32.4,26.2,False
216.1,19.8,23.8,True
244.8,30.4,29.6,False
218.5,30.5,30.3,False
177.7,24.8,28.4,False
195.0,18.8,24.3,True
246.8,29.9,23.2,True
262.0,22.2,22.6,True
243.9,22.9,19.5,True
175.0,30.6,28.4,False
256.8,31.4,27.5,True
154.9,23.9,26.4,False
151.1,24.6,24.7,False
212.7,24.5,22.3,True
189.1,26.5,26.1,False
251.1,20.2,19.6,True
235.0,31.1,22.5,True
264.4,20.5,19.5,True
272.4,29.6,30.5,False
197.2,31.7,19.6,True
273.3,24.0,22.1,True
262.9,22.1,24.1,True
247.5,18.5,23.5,True
160.9,27.3,30.2,False
152.8,26.6,22.2,False
273.8,24.7,19.4,True
258.0,25.4,28.9,True
146.0,25.0,22.9,False
184.0,19.9,32.0,True
224.7,25.2,28.2,True
271.2,31.0,18.0,True
275.7,31.4,26.9,True
220.2,23.6,19.1,True
200.5,29.3,18.1,True
213.6,24.1,18.6,True
217.1,29.2,28.4,False
240.3,30.8,33.0,False
221.3,28.0,28.6,True
168.4,25.9,26.5,False
256.7,24.5,32.4,True
182.7,29.6,24.8,False
201.5,30.9,32.6,False
184.8,27.5,23.7,False
209.8,31.8,31.2,False
157.9,20.4,31.8,False
209.9,18.0,23.3,True
194.1,27.8,32.8,False
145.3,29.0,28.8,False
272.6,28.4,23.5,True
233.8,32.7,28.8,False
209.6,27.4,20.4,True
182.5,32.1,25.5,False
276.2,21.0,27.2,True
227.0,30.1,31.3,True
219.4,18.4,26.5,True
148.6,28.0,24.7,False
180.7,25.9,27.9,False
231.9,21.4,31.9,True
259.3,27.9,24.2,True
229.3,22.5,20.4,True
155.4,27.5,29.4,False
230.5,32.5,21.7,True
255.1,29.2,28.0,False
140.9,19.7,25.0,False
175.0,31.0,18.6,False
245.7,31.6,21.8,True
263.3,23.7,28.5,True
151.7,24.2,24.4,False
186.4,24.6,28.7,True
275.7,31.6,32.9,False
149.5,27.5,32.7,False
172.6,28.4,28.1,False
243.6,20.8,27.0,True
236.8,29.8,28.6,False
217.6,25.2,31.0,True
265.9,21.9,20.9,True
199.6,32.7,23.1,False
242.4,28.9,18.2,True
233.3,22.1,24.5,True
258.7,29.6,23.2,True
150.7,30.1,29.0,False
272.4,21.2,25.1,True
186.8,20.3,25.7,False
217.8,27.6,22.5,True
251.1,25.3,27.7,True
240.1,26.1,22.1,True
168.4,26.2,32.0,False
140.6,30.1,28.7,False
278.1,24.1,32.8,True
218.2,20.5,27.0,True
170.7,29.6,20.6,False
162.8,31.8,24.3,False
191.6,21.3,19.7,True
185.2,23.6,20.2,False
175.8,32.5,32.7,False
262.0,23.2,26.4,True
160.1,31.6,22.8,False
193.3,31.8,20.7,False
261.1,21.2,22.2,True
197.6,29.4,27.7,False
254.0,26.9,30.1,True
257.2,25.6,21.4,True
268.1,27.6,27.1,True
196.2,22.9,18.1,True
150.6,22.9,30.8,False
222.2,31.4,29.2,False
240.0,30.7,25.3,False
178.6,28.4,29.2,False
266.4,29.9,25.2,True
273.4,27.5,18.2,True
273.1,27.2,29.4,True
203.7,20.6,29.6,True
172.3,24.9,31.0,False
236.5,29.8,29.3,True
148.2,23.8,26.7,False
158.5,27.0,21.6,False
176.4,31.1,19.8,False
251.2,27.0,28.3,True
211.8,18.8,30.4,True
203.6,27.5,28.4,True
173.6,29.4,19.7,False
168.9,19.5,24.2,True
147.4,30.3,29.7,False
217.1,23.1,30.2,True
143.3,20.8,20.7,False
178.2,19.7,18.9,True
189.9,21.7,23.0,True
271.7,24.1,19.8,True
215.7,20.1,25.2,True
167.1,26.0,27.5,False
140.4,32.8,21.0,False
164.4,29.4,32.5,False
243.9,27.9,25.4,True
176.4,23.1,32.3,False
188.4,32.5,18.9,False
238.9,21.1,22.7,True
245.7,23.9,29.7,True
246.3,19.8,25.4,True
201.0,27.3,18.8,False
205.8,25.4,26.1,False
272.9,18.5,24.0,True
248.2,18.6,28.7,True
149.8,26.3,23.4,False
178.5,22.8,19.3,True
189.5,32.9,31.8,False
259.1,24.3,21.2,True
167.6,25.8,23.9,False
244.2,20.4,25.0,True
183.8,24.3,27.4,False
157.7,29.3,22.9,False
249.2,25.9,19.9,True
182.0,27.0,30.8,False
240.9,18.6,27.6,True
178.6,29.7,31.0,False
219.0,27.3,32.8,False
228.2,18.6,29.6,True
149.2,32.1,30.2,False
185.2,23.2,32.8,False
167.0,30.1,30.6,False
156.7,18.4,24.0,False
275.4,27.1,21.9,True
202.2,30.9,21.2,False
202.8,18.2,20.7,True
164.6,19.9,18.6,True
165.9,20.6,20.5,True
241.3,27.1,18.5,True
180.1,22.2,18.1,True
142.7,25.1,22.2,False
163.1,18.7,20.1,True
245.3,20.9,27.3,True
240.2,27.2,29.5,False
149.3,22.5,21.8,False
207.7,26.9,24.5,False
172.0,18.7,22.9,True
151.9,21.3,23.7,True
213.8,29.5,31.0,False
249.2,21.4,32.0,True
225.6,26.9,27.1,True
162.1,30.5,19.7,False
226.5,21.0,20.6,True
261.9,32.8,31.6,True
165.7,27.6,32.4,False
166.2,30.9,23.9,False
146.6,24.6,26.4,False
245.7,23.5,23.6,True
239.2,30.3,25.8,False
279.7,26.3,25.6,True
154.6,22.4,20.2,True
201.9,19.9,25.2,True
278.4,25.1,26.6,True
158.4,29.0,28.8,False
171.8,23.5,27.1,False
272.1,32.9,18.5,True
162.1,26.0,21.1,False
232.2,22.8,26.6,True
257.1,29.2,28.6,False
161.7,19.6,29.9,False
221.4,18.5,19.1,True
142.5,23.0,25.9,False
258.8,29.7,20.4,True
238.9,18.2,26.0,True
149.7,19.4,29.0,True
220.1,22.9,20.7,True
157.0,28.5,26.5,False
160.1,23.4,30.5,False
153.2,24.9,25.6,False
221.0,22.6,28.7,True
225.0,23.4,22.4,True
251.9,23.1,31.0,True
265.6,20.9,19.4,True
165.7,19.8,25.8,False
251.1,28.5,25.0,True
210.4,32.1,18.9,False
244.1,27.3,23.6,True
142.5,20.7,32.5,False
196.0,27.4,25.3,False
243.5,28.3,31.3,False
207.9,27.3,31.9,False
237.5,31.8,18.0,True
265.2,29.8,32.6,True
249.5,28.2,25.5,True
204.0,23.2,32.2,True
233.5,21.2,22.5,True
195.2,18.6,25.5,True
226.4,26.6,22.3,True
170.8,29.7,29.5,False
268.2,29.2,22.0,True
268.6,20.0,31.4,True
162.6,24.1,28.4,False
255.8,31.4,21.0,True
200.8,32.2,24.4,False
176.9,21.2,23.2,False
180.4,20.3,30.4,True
144.1,25.5,29.6,False
158.7,18.3,26.6,False
273.6,19.1,24.4,True
213.3,26.5,20.9,True
230.2,22.2,31.6,True
200.2,29.5,19.5,False
228.8,22.1,22.9,True
274.6,32.0,20.0,True
254.8,25.0,19.0,True
204.6,26.7,31.7,False
152.6,25.3,20.2,False
256.8,29.2,23.3,True
209.5,19.5,25.6,True
230.2,22.7,22.4,True
277.7,28.6,32.8,True
270.0,25.9,26.6,True
244.2,23.0,18.7,True
209.1,27.5,20.1,True
168.2,30.2,23.9,False
234.5,20.2,22.2,True
226.1,28.5,24.3,False
195.8,20.7,22.6,True
246.6,20.6,22.7,True
255.9,22.7,28.3,True
166.9,29.5,19.1,False
158.7,30.3,23.4,False
234.6,30.2,32.1,False
189.9,31.9,23.0,False
214.4,21.1,20.0,True
