InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
203.3,21.5,23.6,True
273.1,28.8,21.8,True
269.5,19.8,23.8,True
243.5,23.9,18.1,True
212.0,26.9,18.6,True
260.8,29.2,26.1,True
174.2,21.7,29.0,False
189.7,20.8,28.2,True
254.4,32.3,29.6,True
206.7,26.7,23.9,False
228.5,18.3,31.5,True
237.5,20.9,24.6,True
258.2,27.8,25.1,True
242.2,26.8,22.7,True
199.1,32.6,30.6,False
247.0,23.0,29.7,True
194.2,19.1,23.8,True
194.4,23.0,26.8,True
263.0,30.2,32.2,False
193.3,19.8,32.1,True
268.3,28.9,22.8,True
246.0,31.8,26.9,True
174.3,29.4,20.3,False
145.9,18.0,20.7,True
215.8,29.6,23.9,True
172.9,22.6,23.4,True
260.0,30.4,23.2,True
243.7,28.7,31.4,False
189.5,21.2,24.7,False
163.2,28.0,26.4,False
176.4,22.3,26.2,False
193.3,20.1,20.8,True
245.1,26.7,27.2,True
232.8,32.8,19.5,False
246.8,26.8,18.1,True
176.9,32.6,23.4,False
226.9,18.9,19.9,True
227.6,31.7,20.9,True
212.0,27.7,30.2,True
253.6,24.2,30.4,True
273.2,31.6,31.7,False
199.8,24.6,28.3,False
263.3,25.2,18.3,True
254.3,29.5,32.4,False
262.6,22.2,27.9,True
140.2,26.4,27.3,False
178.3,30.0,18.1,False
239.4,30.8,24.0,True
247.4,28.1,30.3,True
250.6,28.1,25.4,True
195.2,21.4,22.5,True
249.4,18.2,30.2,True
193.2,32.1,21.6,False
154.9,22.0,30.9,False
222.6,24.3,26.8,True
215.5,32.9,31.6,False
267.8,28.3,25.5,True
227.9,26.9,20.8,True
152.8,29.0,21.2,False
262.5,21.5,24.9,True
160.0,24.2,22.9,False
150.4,28.2,32.2,False
212.4,24.4,18.8,True
224.6,24.3,21.9,True
278.7,29.1,28.4,True
188.2,29.8,30.0,False
199.7,19.9,23.3,True
167.5,18.8,21.7,True
252.8,23.3,27.5,True
278.1,32.6,20.4,True
264.8,26.4,20.9,True
154.4,26.6,31.0,False
234.0,28.3,30.8,True
279.5,20.5,24.8,True
169.8,22.1,29.3,False
168.8,25.4,25.8,False
220.2,22.4,28.8,True
211.1,22.9,21.5,True
174.7,23.4,19.6,True
275.8,30.1,32.8,False
155.1,23.6,21.7,False
186.3,32.4,26.0,False
157.4,18.7,30.3,False
162.5,19.7,28.4,True
190.1,18.0,29.8,True
195.4,18.2,21.0,True
228.3,18.4,23.5,True
225.0,26.3,23.8,True
158.9,30.5,29.1,False
264.6,24.0,26.7,True
147.0,21.7,29.0,False
141.1,29.7,26.5,False
178.5,28.5,18.3,False
207.4,22.0,23.2,True
220.4,22.6,31.6,False
271.2,18.4,25.5,True
198.4,32.4,25.1,False
201.1,18.9,19.0,True
163.9,21.0,31.2,False
185.4,27.6,32.4,False
277.4,22.8,18.6,True
234.5,28.2,23.4,True
245.0,30.1,18.8,True
220.1,20.4,18.9,True
227.3,20.8,23.1,True
262.6,20.6,31.5,True
209.3,19.9,22.7,True
188.8,29.6,18.2,False
202.5,23.9,29.5,False
239.3,23.2,22.2,True
273.6,20.0,26.1,True
174.8,28.0,24.7,False
160.0,30.7,28.3,False
143.9,22.6,25.5,False
278.1,23.0,25.8,True
202.0,28.2,25.6,False
178.1,29.3,26.2,False
168.9,28.9,30.5,False
168.7,30.7,18.7,False
262.0,31.8,22.3,True
274.8,26.8,20.5,True
278.1,23.4,32.8,True
228.3,31.8,25.7,True
143.3,24.4,28.9,False
159.7,21.3,27.2,False
175.1,21.3,21.0,True
229.5,31.0,18.7,True
167.8,22.9,18.5,True
272.9,32.3,32.8,False
263.5,22.6,28.7,True
141.5,28.0,23.2,False
178.1,30.4,31.1,False
252.1,31.8,30.3,False
273.2,27.8,27.5,True
151.1,20.0,20.0,True
185.1,27.7,21.3,True
234.4,33.0,18.1,False
208.6,21.8,21.4,True
147.9,20.9,22.8,True
234.4,27.9,30.0,True
178.1,21.2,28.4,False
184.6,21.8,30.2,True
212.8,18.7,32.3,True
235.7,31.0,30.3,False
165.0,25.2,25.8,False
173.9,29.6,22.3,False
199.7,21.0,25.5,True
200.4,24.9,32.6,False
157.3,23.0,21.2,False
248.7,19.7,30.5,True
148.2,27.9,29.7,False
204.8,19.6,25.9,True
166.3,26.0,25.3,False
231.6,21.1,27.4,True
188.5,30.7,22.8,False
153.3,26.5,21.2,False
197.4,30.2,24.3,False
279.6,26.0,25.2,True
169.3,25.6,26.9,False
181.9,22.8,19.9,True
244.9,32.9,29.0,False
266.5,21.6,22.0,True
144.1,20.3,19.6,True
247.5,26.1,30.5,True
198.7,21.3,29.7,True
255.8,25.1,20.4,True
251.4,25.6,19.9,True
206.5,26.3,32.4,False
237.8,20.1,18.4,True
218.6,21.8,31.7,True
159.1,27.7,21.7,False
271.6,19.8,31.6,True
207.4,32.5,32.0,False
222.3,22.2,24.1,True
204.2,18.4,22.4,True
227.3,31.0,31.5,False
184.2,24.9,20.2,True
239.2,32.8,31.8,False
188.4,25.5,21.7,True
185.9,29.6,29.5,False
225.5,24.6,30.6,True
207.4,21.1,30.4,False
146.4,20.7,25.7,False
144.0,32.3,30.6,False
199.5,28.3,32.5,False
152.9,19.3,31.9,False
195.0,26.7,26.0,False
161.9,30.4,31.4,False
264.3,27.9,19.8,True
272.7,26.0,28.2,True
209.8,26.9,25.2,False
206.0,32.0,26.4,False
240.0,28.2,29.7,False
227.6,23.6,31.3,True
159.5,29.0,31.8,False
173.0,21.8,26.4,False
166.7,26.8,28.5,False
145.2,26.3,20.7,False
158.2,22.8,31.7,False
205.1,27.4,18.6,True
235.0,22.4,27.9,True
206.8,33.0,28.9,False
206.6,25.7,31.5,False
230.7,22.5,23.4,True
191.5,28.1,20.3,False
201.9,29.1,26.6,False
266.9,25.8,23.6,True
144.0,18.7,30.6,False
237.8,29.8,33.0,False
181.5,25.8,28.4,False
214.8,18.7,24.4,True
190.1,26.5,27.5,False
271.5,23.6,26.9,True
260.5,27.0,31.7,True
170.2,32.7,30.5,False
245.9,31.1,26.8,True
221.8,22.7,20.9,True
260.5,30.2,28.0,True
245.8,26.9,18.4,True
233.1,26.4,25.3,False
209.5,32.7,21.0,False
210.2,19.5,29.7,True
218.8,21.9,25.8,True
184.3,24.7,32.3,False
250.7,26.8,21.9,True
243.4,23.7,25.2,True
270.7,25.2,19.0,True
251.8,19.0,28.5,True
255.7,19.2,20.6,True
218.2,31.8,29.5,False
180.0,21.5,27.5,False
152.2,28.2,19.0,False
249.0,21.4,22.0,True
262.2,22.5,21.6,True
198.5,20.8,21.3,True
242.5,23.6,28.3,True
267.6,20.2,28.2,True
236.3,21.5,29.6,True
257.5,21.1,29.0,True
213.8,22.4,31.9,True
164.0,21.6,29.0,False
233.6,21.6,24.6,True
261.5,29.2,28.1,False
203.4,24.6,20.3,True
228.5,24.9,25.8,True
181.1,30.7,29.3,False
233.5,22.4,23.2,True
265.9,19.5,29.8,True
155.9,26.0,30.5,False
266.5,28.9,20.2,True
235.3,23.7,26.2,True
145.5,29.1,25.6,False
225.4,29.3,24.9,True
154.9,29.9,30.4,False
229.7,24.9,22.1,True
166.2,25.0,31.4,False
193.0,30.5,32.6,False
142.1,26.5,26.7,False
207.9,19.8,29.9,True
268.7,27.4,18.1,True
240.5,22.3,25.2,True
259.9,23.8,28.2,True
261.5,20.4,27.4,True
176.4,20.2,31.3,True
239.9,31.5,28.4,False
269.7,30.0,22.0,True
175.3,25.5,26.0,False
176.6,26.5,29.4,False
256.1,29.0,25.9,False
202.3,29.9,21.2,False
253.3,24.0,29.5,True
231.5,29.8,26.6,True
210.4,30.9,21.0,False
256.5,25.2,26.8,True
254.5,25.5,21.8,True
150.6,19.4,18.0,True
199.4,30.0,20.9,False
193.7,20.4,20.1,True
164.9,27.6,18.4,False
234.4,20.4,21.0,True
160.1,23.9,22.8,False
255.4,21.2,29.2,True
257.6,20.4,22.8,True
144.1,18.0,19.5,True
267.3,29.2,31.8,False
214.5,31.0,26.2,False
168.4,19.1,31.1,False
149.9,21.1,23.4,False
261.6,22.7,31.6,True
251.3,22.2,22.3,True
223.2,20.5,32.3,True
186.1,32.7,24.7,False
247.4,26.9,22.7,True
259.6,18.7,20.2,True
196.6,22.5,21.6,True
277.1,29.2,23.3,True
153.5,27.5,21.7,False
146.8,22.5,29.2,False
143.9,27.2,19.3,False
204.3,33.0,28.0,False
240.8,31.7,27.5,False
214.6,18.4,31.7,True
180.8,20.9,32.5,True
185.3,23.5,22.8,False
145.1,20.4,18.7,False
147.5,27.0,18.2,False
165.7,25.3,23.6,False
266.3,24.2,27.7,True
167.6,22.5,19.6,False
221.1,18.1,29.6,True
167.9,18.2,18.2,True
172.2,23.5,28.0,False
266.0,30.3,20.1,True
258.7,26.2,28.8,True
231.2,27.4,27.9,True
150.4,23.6,25.0,False
153.2,20.2,28.2,False
173.5,27.2,32.5,False
248.7,26.8,19.8,True
244.5,33.0,29.0,False
205.5,18.0,24.4,True
259.6,31.7,22.7,True
201.0,23.0,30.9,True
156.8,18.9,32.2,False
194.0,18.1,19.2,True
157.3,19.3,23.8,True
263.0,30.8,19.8,True
145.3,32.3,31.3,False
266.9,22.0,26.4,True
277.1,30.9,20.9,True
213.8,25.5,20.9,True
149.4,21.6,24.7,False
179.8,18.5,31.6,False
230.1,31.1,23.3,False
160.7,32.2,30.3,False
218.4,18.7,28.1,True
185.0,20.3,21.3,True
223.8,20.3,27.4,True
279.8,20.1,18.8,True
155.1,27.0,26.2,False
212.6,27.9,21.0,True
216.2,21.4,18.9,True
252.8,22.8,31.0,True
253.5,31.9,28.2,True
249.4,32.9,23.6,False
169.6,25.8,26.3,False
226.5,19.1,18.1,True
235.8,27.3,26.6,True
149.4,21.9,31.3,False
278.7,31.2,21.3,True
215.1,22.8,25.3,True
181.1,28.3,20.2,False
200.5,18.5,24.0,True
148.7,32.4,27.8,False
244.2,26.6,20.4,True
228.7,20.6,30.5,True
237.2,25.6,20.9,True
258.0,21.4,22.2,True
222.6,27.0,21.9,True
156.7,29.0,25.9,False
165.8,21.0,27.1,False
268.9,29.3,20.8,True
258.3,31.0,25.9,True
168.0,25.6,28.9,False
147.8,20.5,19.5,True
204.9,29.0,31.6,False
250.1,32.1,24.9,False
273.9,20.5,22.5,True
169.6,32.3,24.8,False
261.3,31.0,21.6,True
151.0,31.0,22.7,False
256.9,25.3,31.3,True
205.8,21.1,18.8,True
277.2,32.3,27.3,False
244.6,28.7,22.2,True
206.9,29.4,27.8,False
192.5,30.1,28.6,False
222.9,18.6,27.2,True
199.5,30.4,27.2,False
223.2,24.4,18.3,True
243.4,19.2,32.9,True
161.9,32.3,20.7,False
254.6,30.3,18.6,True
272.8,32.4,24.2,True
158.4,26.6,24.0,False
144.2,32.7,19.2,False
191.9,29.4,30.8,False
145.2,32.1,28.0,False
275.2,20.7,23.0,True
273.8,25.6,20.8,True
164.4,32.6,27.3,False
263.4,18.2,29.0,True
213.5,18.8,21.1,True
272.8,32.2,18.2,True
231.7,20.4,27.1,True
236.6,28.4,22.4,True
253.1,24.0,21.4,True
173.3,30.8,21.4,False
253.6,29.3,25.9,True
264.2,22.1,25.3,True
247.1,30.6,18.8,False
188.8,29.5,29.4,False
160.4,18.8,21.0,True
156.4,32.8,30.4,False
221.2,20.8,20.9,True
194.1,20.5,22.0,True
269.1,19.3,32.2,True
