InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
144.7,31.4,31.9,False
183.2,21.4,19.0,True
256.1,22.2,29.5,True
210.0,27.3,20.8,True
270.3,28.9,22.0,True
253.7,21.0,30.5,True
204.8,19.8,30.8,True
267.8,23.1,24.8,True
181.7,20.3,18.6,True
229.9,24.4,24.1,True
216.6,32.0,31.2,False
237.3,19.5,18.2,True
235.1,31.8,24.9,False
157.7,22.1,18.2,True
188.5,30.1,30.3,False
275.1,24.9,31.5,True
270.9,21.8,27.2,True
188.3,23.1,25.9,False
185.6,25.5,32.3,False
204.0,29.4,24.4,False
245.3,23.1,20.2,True
162.3,31.3,22.2,False
206.0,22.1,28.0,False
176.1,24.6,24.4,True
168.4,25.9,32.1,False
253.7,27.0,28.9,True
243.1,25.9,30.1,False
203.0,26.9,32.0,False
198.6,31.5,26.2,False
173.2,20.7,26.5,True
158.9,25.2,31.1,False
245.5,27.9,25.6,True
238.9,31.6,29.6,False
264.6,26.9,28.3,True
181.9,28.3,26.9,False
269.1,19.2,30.3,True
192.5,32.3,19.0,False
224.4,29.0,32.2,False
244.0,19.7,18.2,True
236.0,32.9,26.3,False
242.2,21.7,25.3,True
148.3,25.4,26.1,False
230.1,20.2,31.1,True
253.7,31.6,29.2,False
193.2,25.9,28.0,False
167.5,28.8,27.1,False
265.8,24.4,32.2,True
165.1,28.8,18.3,False
154.2,32.4,27.5,False
237.7,28.1,21.3,True
177.4,27.6,19.8,True
224.3,26.2,18.3,True
140.9,25.4,18.4,False
183.3,30.6,23.2,False
199.4,20.2,19.7,True
216.0,25.3,20.4,True
234.1,22.2,29.7,True
221.9,32.6,21.1,True
235.9,31.2,21.2,True
140.2,22.9,32.0,False
181.2,21.7,25.6,False
242.6,29.4,18.7,True
277.5,24.5,21.4,True
159.5,31.4,22.3,False
251.0,29.1,28.4,False
240.2,28.9,26.1,True
154.7,18.3,29.9,False
271.7,24.5,28.9,True
186.9,27.5,30.3,False
191.4,20.5,24.9,True
199.4,30.1,32.8,False
240.3,30.3,19.4,True
175.7,19.3,27.7,True
190.5,28.2,25.7,False
144.1,32.4,25.2,False
154.9,23.5,25.8,False
204.9,28.1,31.5,False
222.9,21.6,23.3,True
162.4,20.0,31.2,False
215.9,23.1,18.2,True
276.2,25.9,30.6,True
151.5,25.1,30.8,False
204.0,32.6,29.0,False
244.7,18.1,26.6,True
271.5,32.2,26.8,True
274.4,21.7,30.4,True
181.9,31.8,20.9,False
264.5,25.9,25.6,True
149.3,20.8,33.0,False
218.9,18.6,20.0,True
271.3,19.7,20.4,True
242.4,21.8,26.6,True
188.5,19.0,20.0,True
179.4,29.9,32.5,False
194.6,26.1,31.8,False
198.7,25.0,30.1,False
210.7,30.0,21.4,False
236.1,30.7,21.3,False
175.1,22.8,30.6,False
234.1,24.7,21.2,True
274.0,29.4,27.6,False
261.5,25.6,30.9,True
168.3,25.9,26.4,False
232.3,32.8,23.6,False
230.6,31.9,32.1,False
247.0,20.2,25.1,True
218.0,31.5,26.3,False
234.7,32.2,32.8,False
199.0,30.8,29.8,False
242.4,25.4,23.8,True
183.8,28.1,28.0,False
242.7,25.9,21.4,True
159.7,22.6,22.9,True
161.0,31.0,21.0,False
164.0,24.7,26.2,False
270.0,23.1,18.2,True
151.0,25.7,18.9,False
186.8,29.5,20.6,False
219.9,20.4,30.3,True
215.7,28.6,19.3,True
172.6,21.4,31.5,False
172.3,18.7,30.6,True
238.0,21.7,21.5,True
143.1,20.6,32.3,False
231.3,25.7,23.2,True
178.8,18.9,30.8,True
271.2,18.8,19.2,True
180.5,30.7,26.0,False
204.0,32.3,20.4,False
227.7,22.3,32.2,True
215.4,25.5,32.1,False
153.3,25.7,32.9,False
277.6,26.9,22.7,True
226.1,28.1,32.8,True
142.6,21.1,21.1,True
205.6,29.6,24.8,False
181.1,28.5,30.4,False
199.2,23.6,29.9,False
183.5,22.1,33.0,True
260.3,20.4,27.1,True
271.4,29.7,25.1,True
181.7,31.5,30.4,False
276.6,31.2,26.6,False
258.5,18.7,31.1,True
263.8,31.8,20.6,True
232.4,19.3,20.8,True
174.7,31.2,22.4,False
147.4,18.7,22.8,True
144.7,18.2,23.4,False
157.5,25.9,23.1,False
179.7,23.7,21.4,False
163.0,29.5,29.3,False
227.4,30.1,24.7,True
207.5,25.5,23.1,True
204.1,21.7,32.1,True
265.3,21.8,23.6,True
185.8,27.9,23.7,False
150.1,23.5,26.3,False
187.1,25.5,31.5,False
262.2,22.4,20.5,True
270.5,25.0,27.0,True
223.9,27.2,26.8,True
225.6,29.6,26.2,True
140.4,21.3,30.4,False
251.0,28.9,29.4,False
225.1,24.0,25.2,True
193.1,28.2,32.7,False
191.1,27.0,30.3,False
182.9,22.3,27.9,False
162.9,32.4,18.5,False
241.6,21.0,29.1,True
248.1,23.4,28.5,True
194.4,20.2,21.8,True
151.7,26.6,24.3,False
276.8,30.6,24.6,True
177.0,19.8,32.3,False
278.3,31.2,25.8,True
238.3,23.2,28.7,True
190.3,23.0,20.4,True
156.1,28.9,24.1,False
230.3,32.7,30.7,False
261.6,19.5,32.6,True
171.0,30.1,19.5,False
219.8,21.3,21.0,True
220.8,23.8,26.2,True
143.9,24.0,19.0,False
262.2,23.8,20.5,True
241.9,25.8,24.8,True
184.3,29.3,22.3,False
169.6,18.3,31.4,True
203.5,32.5,32.9,False
231.4,25.3,22.6,True
263.4,26.0,30.3,True
276.4,29.7,29.7,True
249.9,32.5,18.1,True
160.2,28.4,31.9,False
143.2,22.6,19.3,False
196.6,18.5,18.4,True
242.1,28.8,20.8,True
197.1,23.1,28.2,True
